controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a3c,adverse_stress,0,0.0,0.0,0.0
a3c,adverse_stress,1,0.0,0.0,0.0
a3c,adverse_stress,2,0.0,0.0,0.0
a3c,adverse_stress,3,0.0,0.0,0.0
a3c,adverse_stress,4,73.74538542741486,-503.86892711936855,689.6760280117055
a3c,adverse_stress,5,806.8204843157008,-860.1241527569392,2278.390617258803
a3c,adverse_stress,6,4249.928181710625,2332.8637405230415,6385.000356442767
a3c,adverse_stress,7,7248.170742667852,4272.453171145303,10024.806168926598
a3c,adverse_stress,8,15905.18245030319,10699.07518723125,20195.61278284583
a3c,adverse_stress,9,24820.29937740994,18772.026639094227,29514.842987210952
a3c,adverse_stress,10,32241.78399075437,27439.57254538858,36015.029729822316
a3c,adverse_stress,11,42689.13873574973,36334.74446501403,49154.870633409904
a3c,adverse_stress,12,58174.594283722145,51582.23819860237,64456.24197242881
a3c,adverse_stress,13,75157.85429018151,67728.84473185021,82078.58454130591
a3c,adverse_stress,14,87928.62377794484,79640.65742074003,95295.42289501232
a3c,adverse_stress,15,99725.11174283712,90236.65411672098,108484.96609286529
a3c,adverse_stress,16,115606.9188297519,105987.25725814779,124438.92681080938
a3c,adverse_stress,17,127987.08931893895,120643.72311162422,134961.86697502818
a3c,adverse_stress,18,137590.43565527408,127364.97561608003,146201.38377881816
a3c,adverse_stress,19,148584.96405919726,137913.94250048092,158979.50095097558
a3c,adverse_stress,20,158950.969038212,147026.34778504577,170146.75483608912
a3c,adverse_stress,21,168771.66064321998,154434.72340785488,182442.90445113208
a3c,adverse_stress,22,179711.60019466025,163431.82246463135,195436.6683738154
a3c,adverse_stress,23,188198.36868626377,171499.61933943068,204607.91018947025
a3c,adverse_stress,24,196733.96476905223,177712.21749586012,215543.70971177827
a3c,adverse_stress,25,287112.17731894716,252113.2122646917,318411.41529668536
a3c,base_market,0,0.0,0.0,0.0
a3c,base_market,1,0.0,0.0,0.0
a3c,base_market,2,0.0,0.0,0.0
